trainid,axle,state,side,wheel_diameter,flange_height,flange_thickness,qr,date,trainfile,data
CMRLTR11,L9-R9,AFTER,LH,839.66,29.01,32.01,10.28,2022-09-27,cmrltr11,
CMRLTR11,L9-R9,AFTER,RH,839.74,29.14,31.9,9.99,2022-09-27,cmrltr11,
CMRLTR11,L10-R10,BEFORE,LH,841.61,39.24,32.4,2.72,2022-09-19,cmrltr11,
CMRLTR11,L10-R10,BEFORE,RH,844.19,37.45,34.07,7.27,2022-09-19,cmrltr11,
CMRLTR11,L10-R10,AFTER,LH,838.84,29.03,31.96,10.31,2022-09-27,cmrltr11,
CMRLTR11,L10-R10,AFTER,RH,838.99,29.12,31.92,10.02,2022-09-27,cmrltr11,
CMRLTR11,L11-R11,BEFORE,LH,846.97,36.85,32.05,3.28,2022-09-19,cmrltr11,
CMRLTR11,L11-R11,BEFORE,RH,846.6,36.27,33.57,6.89,2022-09-19,cmrltr11,
CMRLTR11,L11-R11,AFTER,LH,840.51,29.11,31.97,10.25,2022-09-27,cmrltr11,
CMRLTR11,L11-R11,AFTER,RH,840.66,29.02,31.96,10.04,2022-09-27,cmrltr11,
CMRLTR11,L12-R12,BEFORE,LH,847.55,36.03,30.29,2.98,2022-09-19,cmrltr11,
CMRLTR11,L12-R12,BEFORE,RH,848.61,36.23,32.63,6.66,2022-09-19,cmrltr11,
CMRLTR11,L12-R12,AFTER,LH,840.1,29.11,31.9,10.26,2022-09-27,cmrltr11,
CMRLTR11,L12-R12,AFTER,RH,840.29,29.08,31.96,10.0,2022-09-27,cmrltr11,
CMRLTR11,L13-R13,BEFORE,LH,845.0,37.0,31.5,3.1,2022-09-19,cmrltr11,
CMRLTR11,L13-R13,BEFORE,RH,844.0,36.8,33.0,6.5,2022-09-19,cmrltr11,
CMRLTR11,L13-R13,AFTER,LH,835.0,29.0,32.0,10.2,2022-09-27,cmrltr11,
CMRLTR11,L13-R13,AFTER,RH,835.0,29.0,32.0,10.0,2022-09-27,cmrltr11,
CMRLTR11,L14-R14,BEFORE,LH,846.0,36.5,30.5,3.0,2022-09-19,cmrltr11,
CMRLTR11,L14-R14,BEFORE,RH,847.0,36.0,33.5,6.0,2022-09-19,cmrltr11,
CMRLTR11,L14-R14,AFTER,LH,836.0,28.9,32.5,10.3,2022-09-27,cmrltr11,
CMRLTR11,L14-R14,AFTER,RH,836.0,29.1,32.0,10.0,2022-09-27,cmrltr11,
CMRLTR11,L15-R15,BEFORE,LH,847.0,36.0,31.0,3.5,2022-09-19,cmrltr11,
CMRLTR11,L15-R15,BEFORE,RH,846.0,36.5,32.5,6.0,2022-09-19,cmrltr11,
CMRLTR11,L15-R15,AFTER,LH,837.0,29.0,32.5,10.4,2022-09-27,cmrltr11,
CMRLTR11,L15-R15,AFTER,RH,837.0,29.0,32.0,10.0,2022-09-27,cmrltr11,
CMRLTR11,L16-R16,BEFORE,LH,848.0,35.5,30.0,3.2,2022-09-19,cmrltr11,
CMRLTR11,L16-R16,BEFORE,RH,847.0,36.0,32.0,5.8,2022-09-19,cmrltr11,
CMRLTR11,L16-R16,AFTER,LH,838.0,28.9,32.0,10.4,2022-09-27,cmrltr11,
CMRLTR11,L16-R16,AFTER,RH,838.0,29.0,32.0,10.0,2022-09-27,cmrltr11,
CMRLTR11,L8-R8,BEFORE,LH,845.0,35.0,31.0,3.4,2022-09-19,cmrltr11,
CMRLTR11,L8-R8,BEFORE,RH,845.5,34.8,32.5,6.8,2022-09-19,cmrltr11,
CMRLTR11,L8-R8,AFTER,LH,838.5,29.0,32.0,10.1,2022-09-27,cmrltr11,
CMRLTR11,L8-R8,AFTER,RH,838.5,29.0,32.0,10.0,2022-09-27,cmrltr11,
CMRLTR11,L7-R7,BEFORE,LH,844.5,36.0,31.5,3.5,2022-09-19,cmrltr11,
CMRLTR11,L7-R7,BEFORE,RH,845.0,35.5,32.5,7.0,2022-09-19,cmrltr11,
CMRLTR11,L7-R7,AFTER,LH,839.0,29.0,32.0,10.2,2022-09-27,cmrltr11,
CMRLTR11,L7-R7,AFTER,RH,839.0,29.0,32.0,10.0,2022-09-27,cmrltr11,
CMRLTR11,L6-R6,BEFORE,LH,841.0,36.5,32.0,3.8,2022-09-19,cmrltr11,
CMRLTR11,L6-R6,BEFORE,RH,842.0,35.5,33.0,7.0,2022-09-19,cmrltr11,
CMRLTR11,L6-R6,AFTER,LH,838.5,29.0,32.0,10.1,2022-09-27,cmrltr11,
CMRLTR11,L6-R6,AFTER,RH,838.5,29.0,32.0,10.0,2022-09-27,cmrltr11,
CMRLTR11,L5-R5,BEFORE,LH,840.0,36.0,31.0,3.5,2022-09-19,cmrltr11,
CMRLTR11,L5-R5,BEFORE,RH,840.5,35.5,32.5,6.5,2022-09-19,cmrltr11,
CMRLTR11,L5-R5,AFTER,LH,837.5,29.0,32.0,10.1,2022-09-27,cmrltr11,
CMRLTR11,L5-R5,AFTER,RH,837.5,29.0,32.0,10.0,2022-09-27,cmrltr11,
CMRLTR11,L4-R4,BEFORE,LH,847.88,36.17,31.4,3.46,2022-09-19,cmrltr11,
CMRLTR11,L4-R4,BEFORE,RH,846.94,36.18,32.4,6.56,2022-09-19,cmrltr11,
CMRLTR11,L4-R4,AFTER,LH,827.33,29.03,31.98,10.23,2022-09-27,cmrltr11,
CMRLTR11,L4-R4,AFTER,RH,827.46,29.15,31.99,10.11,2022-09-27,cmrltr11,
CMRLTR11,L3-R3,BEFORE,LH,846.95,36.54,32.26,3.24,2022-09-19,cmrltr11,
CMRLTR11,L3-R3,BEFORE,RH,846.67,36.17,32.6,6.6,2022-09-19,cmrltr11,
CMRLTR11,L3-R3,AFTER,LH,827.28,29.04,31.94,10.24,2022-09-27,cmrltr11,
CMRLTR11,L3-R3,AFTER,RH,827.5,29.1,32.19,10.1,2022-09-27,cmrltr11,
CMRLTR11,L2-R2,BEFORE,LH,840.34,40.09,35.84,5.77,2022-09-19,cmrltr11,
CMRLTR11,L2-R2,BEFORE,RH,831.61,43.13,31.88,4.37,2022-09-19,cmrltr11,
CMRLTR11,L2-R2,AFTER,LH,826.39,29.04,31.95,10.29,2022-09-27,cmrltr11,
CMRLTR11,L2-R2,AFTER,RH,826.62,29.16,31.98,10.04,2022-09-27,cmrltr11,
CMRLTR11,L1-R1,BEFORE,LH,840.61,39.52,32.75,3.81,2022-09-19,cmrltr11,
CMRLTR11,L1-R1,BEFORE,RH,842.64,38.67,32.2,5.72,2022-09-19,cmrltr11,
CMRLTR11,L1-R1,AFTER,LH,826.37,29.12,31.98,10.26,2022-09-27,cmrltr11,
CMRLTR11,L1-R1,AFTER,RH,826.59,29.09,32.02,10.13,2022-09-27,cmrltr11,
CMRLTR12,L9-R9,BEFORE,LH,844.13,38.8,34.06,3.0,2025-01-02,cmrltr12,
CMRLTR12,L9-R9,BEFORE,RH,847.39,39.0,34.44,6.79,2025-01-02,cmrltr12,
CMRLTR12,L9-R9,AFTER,LH,844.3,31.94,31.44,10.19,2025-01-04,cmrltr12,
CMRLTR12,L9-R9,AFTER,RH,839.5,30.9,31.0,10.05,2025-01-04,cmrltr12,
CMRLTR12,L10-R10,BEFORE,LH,843.94,37.89,34.9,3.1,2025-01-02,cmrltr12,
CMRLTR12,L10-R10,BEFORE,RH,844.24,38.0,35.01,6.5,2025-01-02,cmrltr12,
CMRLTR12,L10-R10,AFTER,LH,838.62,31.9,31.9,10.0,2025-01-04,cmrltr12,
CMRLTR12,L10-R10,AFTER,RH,838.73,30.94,31.94,10.05,2025-01-04,cmrltr12,
CMRLTR12,L11-R11,BEFORE,LH,847.34,37.0,34.47,3.1,2025-01-02,cmrltr12,
CMRLTR12,L11-R11,BEFORE,RH,845.82,35.65,33.0,6.0,2025-01-02,cmrltr12,
CMRLTR12,L11-R11,AFTER,LH,844.6,31.6,31.36,10.1,2025-01-04,cmrltr12,
CMRLTR12,L11-R11,AFTER,RH,844.84,30.6,32.05,10.0,2025-01-04,cmrltr12,
CMRLTR12,L12-R12,BEFORE,LH,846.86,36.5,33.29,3.3,2025-01-02,cmrltr12,
CMRLTR12,L12-R12,BEFORE,RH,844.1,33.92,33.92,6.5,2025-01-02,cmrltr12,
CMRLTR12,L12-R12,AFTER,LH,845.4,31.5,31.94,10.1,2025-01-04,cmrltr12,
CMRLTR12,L12-R12,AFTER,RH,845.63,30.9,31.9,10.0,2025-01-04,cmrltr12,
CMRLTR12,L13-R13,BEFORE,LH,845.43,36.5,33.36,3.3,2025-01-02,cmrltr12,
CMRLTR12,L13-R13,BEFORE,RH,846.47,34.3,34.3,6.8,2025-01-02,cmrltr12,
CMRLTR12,L13-R13,AFTER,LH,844.52,31.4,32.14,10.1,2025-01-04,cmrltr12,
CMRLTR12,L13-R13,AFTER,RH,844.08,30.9,32.09,10.0,2025-01-04,cmrltr12,
CMRLTR12,L14-R14,BEFORE,LH,847.75,36.0,33.98,3.2,2025-01-02,cmrltr12,
CMRLTR12,L14-R14,BEFORE,RH,848.08,34.94,34.94,6.7,2025-01-02,cmrltr12,
CMRLTR12,L14-R14,AFTER,LH,844.8,31.82,32.13,10.0,2025-01-04,cmrltr12,
CMRLTR12,L14-R14,AFTER,RH,845.05,31.94,31.94,10.0,2025-01-04,cmrltr12,
CMRLTR12,L15-R15,BEFORE,LH,848.26,36.0,34.66,3.1,2025-01-02,cmrltr12,
CMRLTR12,L15-R15,BEFORE,RH,847.34,34.76,34.76,6.0,2025-01-02,cmrltr12,
CMRLTR12,L15-R15,AFTER,LH,846.72,31.98,31.96,10.0,2025-01-04,cmrltr12,
CMRLTR12,L15-R15,AFTER,RH,847.2,31.96,31.96,10.0,2025-01-04,cmrltr12,
CMRLTR12,L16-R16,BEFORE,LH,849.74,35.0,33.12,3.0,2025-01-02,cmrltr12,
CMRLTR12,L16-R16,BEFORE,RH,848.54,34.0,33.13,6.01,2025-01-02,cmrltr12,
CMRLTR12,L16-R16,AFTER,LH,847.42,32.02,31.98,10.0,2025-01-04,cmrltr12,
CMRLTR12,L16-R16,AFTER,RH,847.2,31.98,31.98,10.0,2025-01-04,cmrltr12,
CMRLTR12,L8-R8,BEFORE,LH,849.22,35.0,32.78,3.3,2025-01-02,cmrltr12,
CMRLTR12,L8-R8,BEFORE,RH,849.33,34.4,33.49,6.0,2025-01-02,cmrltr12,
CMRLTR12,L8-R8,AFTER,LH,847.25,31.9,31.99,10.0,2025-01-04,cmrltr12,
CMRLTR12,L8-R8,AFTER,RH,847.04,31.85,31.85,10.0,2025-01-04,cmrltr12,
CMRLTR12,L7-R7,BEFORE,LH,847.25,35.0,33.79,3.0,2025-01-02,cmrltr12,
CMRLTR12,L7-R7,BEFORE,RH,848.18,34.6,34.6,7.01,2025-01-02,cmrltr12,
CMRLTR12,L7-R7,AFTER,LH,846.47,32.23,31.9,10.0,2025-01-04,cmrltr12,
CMRLTR12,L7-R7,AFTER,RH,846.3,31.9,31.9,10.0,2025-01-04,cmrltr12,
CMRLTR12,L6-R6,BEFORE,LH,846.54,36.0,34.48,3.0,2025-01-02,cmrltr12,
CMRLTR12,L6-R6,BEFORE,RH,847.28,34.8,34.8,7.0,2025-01-02,cmrltr12,
CMRLTR12,L6-R6,AFTER,LH,845.74,32.1,32.1,10.0,2025-01-04,cmrltr12,
CMRLTR12,L6-R6,AFTER,RH,845.98,31.92,31.92,10.0,2025-01-04,cmrltr12,
CMRLTR12,L5-R5,BEFORE,LH,846.56,36.0,33.06,3.1,2025-01-02,cmrltr12,
CMRLTR12,L5-R5,BEFORE,RH,847.56,35.0,33.77,6.5,2025-01-02,cmrltr12,
CMRLTR12,L5-R5,AFTER,LH,845.95,32.04,32.04,10.0,2025-01-04,cmrltr12,
CMRLTR12,L5-R5,AFTER,RH,846.04,31.96,31.96,10.0,2025-01-04,cmrltr12,
CMRLTR12,L4-R4,BEFORE,LH,847.16,36.5,33.55,3.0,2025-01-02,cmrltr12,
CMRLTR12,L4-R4,BEFORE,RH,846.9,33.92,33.92,6.9,2025-01-02,cmrltr12,
CMRLTR12,L4-R4,AFTER,LH,846.1,31.9,31.9,10.0,2025-01-04,cmrltr12,
CMRLTR12,L4-R4,AFTER,RH,846.44,32.03,32.03,10.0,2025-01-04,cmrltr12,
CMRLTR12,L3-R3,BEFORE,LH,846.14,37.0,34.4,3.0,2025-01-02,cmrltr12,
CMRLTR12,L3-R3,BEFORE,RH,847.89,34.9,34.9,6.0,2025-01-02,cmrltr12,
CMRLTR12,L3-R3,AFTER,LH,845.22,31.97,31.97,10.0,2025-01-04,cmrltr12,
CMRLTR12,L3-R3,AFTER,RH,845.55,32.01,32.01,10.0,2025-01-04,cmrltr12,
CMRLTR12,L2-R2,BEFORE,LH,842.65,39.0,36.85,3.0,2025-01-02,cmrltr12,
CMRLTR12,L2-R2,BEFORE,RH,838.89,33.91,33.91,6.0,2025-01-02,cmrltr12,
CMRLTR12,L2-R2,AFTER,LH,837.47,32.05,32.05,10.0,2025-01-04,cmrltr12,
CMRLTR12,L2-R2,AFTER,RH,837.61,31.92,31.92,10.0,2025-01-04,cmrltr12,
CMRLTR12,L1-R1,BEFORE,LH,845.7,38.0,34.34,3.0,2025-01-02,cmrltr12,
CMRLTR12,L1-R1,BEFORE,RH,847.2,33.69,33.69,6.0,2025-01-02,cmrltr12,
CMRLTR12,L1-R1,AFTER,LH,844.5,31.98,31.98,10.0,2025-01-04,cmrltr12,
CMRLTR12,L1-R1,AFTER,RH,844.5,31.98,31.98,10.0,2025-01-04,cmrltr12,
CMRLTR13,L9-R9,BEFORE,LH,844.7,36.59,34.2,3.0,2022-10-08,cmrltr13,
CMRLTR13,L9-R9,BEFORE,RH,843.02,36.78,34.78,6.92,2022-10-08,cmrltr13,
CMRLTR13,L9-R9,AFTER,LH,843.72,28.81,32.91,10.0,2022-10-13,cmrltr13,
CMRLTR13,L9-R9,AFTER,RH,843.75,28.97,32.7,9.97,2022-10-13,cmrltr13,
CMRLTR13,L10-R10,BEFORE,LH,846.3,37.0,34.82,3.0,2022-10-08,cmrltr13,
CMRLTR13,L10-R10,BEFORE,RH,846.52,36.5,34.52,6.9,2022-10-08,cmrltr13,
CMRLTR13,L10-R10,AFTER,LH,843.39,29.0,31.9,10.0,2022-10-13,cmrltr13,
CMRLTR13,L10-R10,AFTER,RH,843.22,31.92,31.92,9.99,2022-10-13,cmrltr13,
